swMATHId;git
44332;https://github.com/OCL2AC/home
44325;https://github.com/nickelnine37/pykronecker
44324;https://github.com/SvenMarcus/hpc-rocket
44323;https://gitlab.com/leia-methods/argo
44321;https://gitlab.com/dglaeser/fieldcompare
44320;https://github.com/vtopt/VTMOP
44319;https://github.com/parmoo/parmoo
44315;https://github.com/VITA-Group/ALISTA
44311;https://github.com/SedFoam/sedfoam
44306;https://github.com/cran/metR
44305;https://github.com/cran/spamtree
44303;https://github.com/tosinabase/Kiefer-Weiss
44302;https://github.com/mzilhao/Jecco.jl
44300;https://github.com/vicegd/jgraphs
44298;https://github.com/cran/conquer
44297;https://github.com/srush/SemiRings
44295;https://github.com/jreeves3/PReLearn
44293;https://github.com/cran/teamcolors
44292;https://github.com/samuel-yeom/fliptest
44291;https://github.com/cran/inspectdf
44290;https://github.com/cran/tidycensus
44289;https://github.com/shadow2469/BiRSwinT
44288;https://github.com/ut-padas/rchol
44286;https://github.com/JeffreySarnoff/ArbNumerics.jl
44285;https://github.com/deepmind/alphatensor
44284;https://github.com/Apress/string-algorithms-in-c
44283;https://github.com/mklokocka/seminator
44272;https://github.com/ciaranm/glasgow-subgraph-solver
44271;https://github.com/MiviaLab/vf3lib
44270;https://github.com/Echtzeitsysteme/SimSG-Example
44268;https://github.com/jona2510/PGM_PyLib
44267;https://github.com/ragnhildlaursen/SFS
44265;https://github.com/cran/randcorr
44264;https://github.com/cran/braggR
44263;https://github.com/cran/epimdr2
44262;https://github.com/denglingyun123/Multi-strategy-improved-slime-mould-algorithm
44260;https://github.com/mmsnasser/PlgCirMap
44258;https://github.com/khameelbm/microfiniteR
44257;https://github.com/findCP/findCPcli
44256;https://github.com/rhz/fragger
44254;https://github.com/numericalEFT/Lehmann.jl
44253;https://github.com/jasonkaye/libdlr
44252;https://github.com/SpM-lab/SparseIR.jl
44250;https://github.com/SpM-lab/sparse-ir
44247;https://github.com/statgen/locuszoom/
44245;https://github.com/kordk/shinyGAStool
44244;https://github.com/Junjun1guo/OpenSeesPyView
44242;https://github.com/cran/terra
44241;https://github.com/cran/fs
44240;https://github.com/cran/ag5Tools
44239;https://github.com/cran/GSelection
44238;https://github.com/annajenul/UBayFS
44237;https://github.com/cran/signnet
44236;https://github.com/cran/spiro
44235;https://github.com/jkirkby3/BsplineDensity
44234;https://github.com/jkirkby3/pymle
44232;https://github.com/cran/spsur
44231;https://github.com/jkirkby3/PROJ_Option_Pricing_Matlab
44230;https://github.com/AnjishtGosain/DerivativesPricing
44229;https://github.com/SciML/JumpProcesses.jl
44228;https://github.com/LRydin/jumpdiff
44227;https://github.com/cran/MBHdesign
44226;https://github.com/cran/Spbsampling
44225;https://github.com/HelmholtzAI-Consultants-Munich/PySDDR
44224;https://github.com/cran/gamlss.lasso
44223;https://github.com/lasso-net/lassonet
44221;https://github.com/cran/tfprobability
44220;https://github.com/cran/BayesianGLasso
44219;https://github.com/cran/BigQuic
44218;https://github.com/cran/glassoFast
44217;https://github.com/cran/cglasso
44215;https://github.com/nick8325/jukebox/
44214;https://github.com/MichaelRawson/lazycop
44209;https://github.com/dblotsky/stringfuzz
44208;https://github.com/zaligvinder/zaligvinder
44206;https://github.com/rxncon/rxncon
44205;https://github.com/albertocasagrande/pyModelChecking
44204;https://github.com/sybila/eBCSgen
44203;https://github.com/Verisig/verisig
44202;https://github.com/DatenVorsprung/GoTube
44201;https://github.com/amirgholami/anode
44200;https://github.com/stanleybak/nnenum
44199;https://github.com/verivital/nnv
44198;https://sourceforge.net/projects/groimp/files/
44197;https://github.com/xbpeng/DeepLoco
44195;https://github.com/XuhuiM/PPINN
44194;https://github.com/kpentland/GParareal
44192;https://github.com/Ulvetanna/HypoSVI
44191;https://github.com/sgrubas/NES
44190;https://github.com/federicoPagnozzi/emili
44189;https://github.com/cicirello/Chips-n-Salsa
44188;https://github.com/N-Wouda/ALNS
44187;https://github.com/QuantumBFS/CuYao.jl
44186;https://github.com/HQSquantumsimulations/PyQuEST-cffi
44185;https://github.com/QuantumBFS/LuxurySparse.jl
